Rank,Extension_ID,Total_Risk_Score,Risk_Level,Permission_Risk,Host_Risk,User_Factor,Rating_Factor,User_Count,Rating,Review_Count,Host_Permissions_Count,Risky_Permissions_Count,Additional_Flags
110,mdeeelggfddnkamdbdcjppllafmmibpn,612.0,Critical,11,600,0.0,1.0,594,5.0,8,75,3,Content Scripts; Web Accessible Resources
111,jaokbnmpdigpgfjckhgpdacpcokipoha,611.5,Critical,19,592,0.5,0.0,3000,4.782608695652174,23,74,4,Content Scripts; Web Accessible Resources
112,dpjmbbkmbiokagbnjogdjcjmhaaacegm,611.0,Critical,2,608,0.0,1.0,35,5.0,1,152,1,Content Scripts
113,iflgmngecnmdpijagpojnlnhbpbjjahb,600.0,Critical,7,592,0.0,1.0,18,5.0,0,74,1,
114,alaclngadohenllpjadnmpkplkpdlkni,597.0,Critical,29,568,0.0,0.0,507,3.6666666666666665,15,71,5,Content Scripts; Web Accessible Resources
115,apnigoloonhabnplobkhailjllggdnll,595.0,Critical,26,568,0.5,0.5,3000,2.8823529411764706,17,76,5,Externally Connectable; Content Scripts
116,agppkkbcgmknmnkedglndagmnncdilck,595.0,Critical,26,568,0.0,1.0,356,1.0,4,76,5,Externally Connectable; Content Scripts
117,poomkmbickjilkojghldlelgjmgaabic,588.0,Critical,23,564,1.0,0.0,10000,4.08641975308642,81,71,5,Content Scripts
118,bldfdpnmijncfmaokfjgdmcjdhafihoh,584.5,Critical,19,564,0.5,1.0,1000,5.0,6,124,3,Content Scripts; Web Accessible Resources
119,fbjdjppmobdgaihbhehdgmbjlmnkfdpf,583.0,Critical,22,560,0.0,1.0,9,5.0,0,70,4,Content Scripts; Web Accessible Resources
120,lephhdmcccfalhjdfpgilpekldmcahbb,581.5,Critical,29,552,0.5,0.0,3000,3.4347826086956523,23,69,5,Content Scripts; Web Accessible Resources
121,agbkdpghihaobfldkoagkdcbblbajaff,575.0,Critical,14,560,0.0,1.0,1,5.0,0,70,2,Content Scripts
122,bklllkankabebbiipcfkcnmcegekeagj,574.0,Critical,13,560,0.0,1.0,84,5.0,5,70,3,Content Scripts; Web Accessible Resources
123,kacdmmlabjolkpfoapmdmjkdaheaobna,569.5,Critical,29,540,0.5,0.0,8000,4.402597402597403,77,68,5,Content Scripts; Web Accessible Resources
124,ohgfipogdmabijekgblippmcbfhncjgn,568.0,Critical,7,560,0.0,1.0,124,4.2,5,70,2,Content Scripts; Web Accessible Resources
125,mbgojgblcihihojkcfhgoiidejgabmoa,566.0,Critical,5,560,0.0,1.0,17,5.0,3,70,1,Content Scripts; Web Accessible Resources
126,dnpclnddefebpffecjjfaebhoiekpggj,554.0,Critical,2,552,0.0,0.0,566,3.6923076923076925,13,69,1,Content Scripts
127,pkhpccaeagckbkkenngbgijkkhcaejaa,538.0,Critical,23,514,0.0,1.0,245,5.0,0,65,4,Content Scripts; Web Accessible Resources
128,gpcpifkjapbokpbbfbppohlmcaamakil,538.0,Critical,0,536,1.0,1.0,20000,2.2333333333333334,30,67,0,Content Scripts
129,igcghclpkofnpiafpgbammnpmanbiemd,529.0,Critical,0,528,0.0,1.0,951,2.6,5,66,0,Content Scripts
130,cmjihoeplpkmlmbbiiognkceoechmand,526.0,Critical,21,504,1.5,-0.5,100000,3.742574257425743,101,63,4,Content Scripts; Web Accessible Resources
131,mnkebjfineklhjmhclbehgjnhcohbjpk,513.0,Critical,0,512,0.0,1.0,58,5.0,1,64,0,Content Scripts
132,ikoocbbcgemiakcmeepjmlgipjeeibon,508.5,Critical,32,476,0.5,0.0,2000,5.0,37,61,6,Content Scripts
133,fjhhmciiekplggcfcmibkkahegdlmbln,508.0,Critical,25,482,0.0,1.0,867,5.0,1,96,4,Content Scripts; Web Accessible Resources
134,jckgdkgjhccmdffebcijncbgomgmibkh,507.0,Critical,10,496,0.0,1.0,80,5.0,1,62,2,Content Scripts
135,anpgkdeehablbkcaipgpogklglplgogd,503.0,Critical,2,500,0.0,1.0,4,5.0,0,63,1,Content Scripts
136,fpgfgephimamebidafbckomhpjclmpfp,500.0,Critical,3,496,0.0,1.0,185,5.0,0,62,1,Content Scripts; Web Accessible Resources
137,mkpmadpjiphhpondccmkndccfjknbjdi,498.5,Critical,18,480,0.5,0.0,4000,4.666666666666667,12,60,5,Web Accessible Resources
138,cibkpkemnhicmcmkchpledgebbapjdbp,488.0,Critical,15,472,0.0,1.0,89,5.0,7,59,3,Content Scripts; Web Accessible Resources
139,kllkcaplhhmkkpdibaieojndmkmbncpp,484.0,Critical,19,464,0.0,1.0,16,5.0,0,58,4,Content Scripts; Web Accessible Resources
140,ogmmdffhpefjibnecfdfhnbjjijefjdb,476.0,Critical,11,464,0.0,1.0,902,2.1818181818181817,11,58,2,Externally Connectable; Content Scripts; Web Accessible Resources
141,nlmagkccjhkidhigbdiappekidmijmgk,467.5,Critical,10,456,0.5,1.0,7000,5.0,2,57,2,Content Scripts
142,dncmnmelaadhdoihlcbegdjfgkpaianf,454.5,Critical,22,432,0.5,0.0,2000,4.129032258064516,31,56,4,Content Scripts; Web Accessible Resources
143,eeknabdmfamnghpcoecgokajhkgbencd,443.0,Critical,10,432,0.0,1.0,4,5.0,0,55,2,Web Accessible Resources
144,dfekpbmjoelpjpmidcofbandboofkhmk,442.0,Critical,21,420,0.0,1.0,29,1.0,1,53,4,
145,jpkdnfccfhdjjbcefhdjncjibmpmonai,435.0,Critical,10,424,0.0,1.0,100,2.5,6,54,2,Web Accessible Resources
146,obmjelnefbpppnlclofadlniafdnhjpc,433.0,Critical,0,432,1.0,0.0,10000,4.634615384615385,52,108,0,Content Scripts; Web Accessible Resources
147,makmhllelncgkglnpaipelogkekggpio,420.5,Critical,30,390,0.5,0.0,4000,4.533333333333333,45,50,5,Content Scripts; Web Accessible Resources
148,hncfkjkbikpgeicjhcipbjcdjejokbek,419.5,Critical,2,416,0.5,1.0,8000,3.25,8,52,1,Content Scripts; Web Accessible Resources
149,nopbfadgbajdgfimkghkmfnoefngbgla,419.0,Critical,2,416,0.0,1.0,324,3.6666666666666665,3,52,1,Content Scripts
150,haohgangiacmapmlhemnolpaheabnnhd,412.0,Critical,19,392,0.0,1.0,767,4.0,5,49,4,Content Scripts; Web Accessible Resources
151,ghmakokedbkpccknamhmmcmjadilfoed,408.0,Critical,43,364,0.0,1.0,149,5.0,1,49,6,Externally Connectable; Content Scripts; Web Accessible Resources
152,ckomgaohbhjpmmohbhkhnkgbifohkmdk,407.0,Critical,2,404,0.0,1.0,61,5.0,1,51,1,Content Scripts
153,fpklbdjjbgdpkpeokoagehbnkdfdkimi,403.5,Critical,19,384,0.5,0.0,2000,4.647058823529412,17,48,4,Content Scripts; Web Accessible Resources
154,nfeekoejecbmfenjnmfkaejmgmlfpmhf,399.0,Critical,14,384,0.0,1.0,4,5.0,0,48,2,
155,ioadaikpljilagoddljnamloiebcoopb,398.5,Critical,35,362,1.5,0.0,100000,3.6842105263157894,19,60,8,Externally Connectable; Content Scripts
156,omehcalnmogbielhpbaflhnhmeehoopo,395.0,Critical,18,376,0.0,1.0,19,5.0,2,47,4,
157,makklojmiamdenclmmkkbpogcdpaibbm,394.5,Critical,9,384,0.5,1.0,1000,5.0,0,50,1,Externally Connectable
158,kopfnklaboaccolednhleicjdoecgica,394.5,Critical,9,384,0.5,1.0,1000,5.0,0,50,1,Externally Connectable
159,hppojpmpiodfkpibhmjjmknaccnhjaaa,393.5,Critical,8,384,0.5,1.0,1000,3.857142857142857,7,48,2,
160,ehgbmeaekkaeajmapeefcolejlaamdip,390.0,Critical,15,374,1.0,0.0,20000,3.7142857142857144,14,187,3,Content Scripts
161,llgndampjdfkpllkjgjcjmdlmpelbhmd,389.0,Critical,8,380,0.0,1.0,61,5.0,0,133,1,Externally Connectable; Web Accessible Resources
162,ocjlckkmllgdmmpiobopeblldmmhjpjk,387.5,Critical,23,364,0.5,0.0,9000,4.384615384615385,13,49,5,Externally Connectable; Content Scripts; Web Accessible Resources
163,gegegmbnpdigalgfkegjgnfcpmolijdg,387.5,Critical,23,364,0.5,0.0,2000,3.8241758241758244,91,47,3,Externally Connectable; Content Scripts; Web Accessible Resources
164,hckhognkhhjhhgdemmlpednlfenpllmk,385.0,Critical,0,384,0.0,1.0,34,5.0,0,48,0,Content Scripts
165,djnkjimeimidbimfhoidjhfahoooinpb,384.5,Critical,0,384,0.5,0.0,1000,4.117647058823529,17,48,0,Content Scripts; Web Accessible Resources
166,jncjljffagkhmiiiocakobngmclibccn,382.0,Critical,2,380,0.0,0.0,918,3.3076923076923075,13,190,1,Content Scripts
167,lohijenobpgmglgnpegoiaepjklnmfon,381.5,Critical,21,360,0.5,0.0,5000,3.9545454545454546,22,45,6,Content Scripts; Web Accessible Resources
168,ccokehohfncgmmbmnnhbhflmfbmimdgf,377.5,Critical,0,376,0.5,1.0,8000,3.3333333333333335,9,47,0,Content Scripts; Web Accessible Resources
169,mplpidbdfnfohbabgehfmbjpmgjhjcoh,377.0,Critical,8,368,0.0,1.0,3,5.0,0,46,2,Content Scripts; Web Accessible Resources
170,bcoiihabmfakmgppaccdhijkfgbbdjlj,374.5,Critical,62,312,0.5,0.0,2000,3.375,32,39,9,Content Scripts; Web Accessible Resources
171,ohndmfaecddmecehfdidjhncfdajjeed,373.5,Critical,28,344,0.5,1.0,5000,3.6666666666666665,6,85,4,Content Scripts; Web Accessible Resources
172,ipnnenggfiebcgehkfffpedpmacjmglj,371.0,Critical,26,344,0.0,1.0,605,5.0,5,44,5,Content Scripts; Web Accessible Resources
173,mmhdlhieabmpkjcffmaagonallanjiad,371.0,Critical,2,368,1.0,0.0,20000,4.6923076923076925,26,92,1,Content Scripts; Web Accessible Resources
174,hdmndmdgedomdamnlpidkahloadciimd,365.0,Critical,14,350,0.0,1.0,412,2.0,3,44,2,
175,alkdfnbpflpamplhfiiejcjidajbbbbe,365.0,Critical,33,332,0.0,0.0,780,4.666666666666667,12,42,6,Content Scripts; Web Accessible Resources
176,fgemgplfkdajhlgnaipggnkhcfdilgjd,365.0,Critical,14,350,0.0,1.0,14,5.0,0,44,2,
177,enljebngdkinfnndpofinpophkpiijhp,361.0,Critical,8,352,0.0,1.0,71,5.0,1,44,1,Content Scripts; Web Accessible Resources
178,mndpomcndmohjljbimojnnfnennikjmk,359.0,Critical,46,312,1.0,0.0,40000,3.7333333333333334,45,39,8,Content Scripts; Web Accessible Resources
179,oiillickanjlaeghobeeknbddaonmjnc,357.0,Critical,36,320,1.0,0.0,20000,4.66,50,53,7,Content Scripts; Web Accessible Resources
180,kkjlhhppeboajiggpecnachblinejhdl,355.5,Critical,39,316,0.5,0.0,3000,4.913043478260869,46,41,6,Content Scripts
181,fkkcefhhadenobhjnngfdahhlodolkjg,354.5,Critical,2,352,0.5,0.0,2000,4.513513513513513,37,44,1,Content Scripts
182,kdjmiebhgaleboaamnehjbamlghkoedf,353.0,Critical,14,338,0.0,1.0,281,3.0,4,54,2,
183,mfplghgainpfbdodaehcaaahdbcmojbp,349.0,Critical,20,328,0.0,1.0,1,5.0,0,41,3,
184,cgekaobfliickgiogkjibhhollmjohdd,348.0,Critical,45,302,0.0,1.0,325,5.0,4,151,8,Web Accessible Resources
185,ibajimkhgbhhejedgkgkgnofgojmgnmk,347.0,Critical,2,344,0.0,1.0,14,5.0,0,86,1,Content Scripts
186,ianhafdedjkpoagaalhdlenffgcncgpj,341.0,Critical,37,304,0.0,0.0,639,3.75,12,58,6,Content Scripts; Web Accessible Resources
